@USER She should ask a few native Americans what their take on this is.	OFF
@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	OFF
"""@USER Someone should'veTaken"""" this piece of shit to a volcano. 😂"""""""	OFF
@USER Liberals are all Kookoo !!!	OFF
@USER @USER Oh noes! Tough shit.	OFF
@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	OFF
@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	OFF
@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	OFF
@USER @USER @USER gun control! That is all these kids are asking for!	OFF
@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	OFF
@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	OFF
@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	OFF
@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	OFF
@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	OFF
The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	OFF
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	OFF
@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	OFF
4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	OFF
@USER Fuck off	OFF
"""@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing"""""""""""	OFF
@USER @USER She is useless.  Attempts to do the right thing but never follows through.	OFF
@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.	OFF
@USER Trump kicks dem butt - its so fun.	OFF
@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.	OFF
@USER And this from the clown that should be in prison?	OFF
@USER Thats because you are an old man.	OFF
@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	OFF
@USER I mean it worked for gun control right? URL	OFF
@USER She is drinking so much koolaid she’s bloated.	OFF
@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!	OFF
WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	OFF
@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!	OFF
@USER Fuck em	OFF
@USER Good move....he is the big loser	OFF
"""@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."""" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash"""""""	OFF
@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.	OFF
@USER @USER @USER please don't kill me. antifa on the other hand...	OFF
@USER @USER She is an ugly black hearted troll URL	OFF
@USER Dont believe the hype.	OFF
@USER @USER We have been saved from you! MAGA!	OFF
"""@USER You can probably imagine all the SJW snowflakes that don't feel safe"""" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."""""""	OFF
@USER This all I get 😢 damn these haters deleting you IG for no reason... URL	OFF
@USER SJSHSJ THATS MY JOB BITCH	OFF
@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat	OFF
"""@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"""""""	OFF
@USER Let the leftist democrats riot in the streets with their antifa counterparts.	OFF
@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.	OFF
@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!	OFF
@USER This game sucks donkey balls	OFF
@USER Absolutely should be a nail in the coffin.... for Hilliary	OFF
@USER He is a DUMBASS !!!!!	OFF
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL	OFF
@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL	OFF
@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail	OFF
@USER Oh my Carmen. He is SO FRICKING CUTE	OFF
@USER Chelsea is as crazy as her mother	OFF
"""@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"""" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP"""""""	OFF
@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!	OFF
@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.	OFF
@USER Yes do hurt your selves gun control freaks.	OFF
@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss	OFF
@USER the owner of my culo	OFF
Now she scarred herself for life lol #MAGA URL	OFF
@USER you fucking -	OFF
Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	OFF
I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA	OFF
@USER @USER Leftists showing yet again how vile they can be	OFF
@USER He is a drunk crazy man.	OFF
